DATE,DT90,DT90_Miss,DT90_Consec,DX32,DX32_Miss,DX32_Consec,DT32,DT32_Miss,DT32_Consec,DP01,DP01_Miss,DP01_Consec,DP05,DP05_Miss,DP05_Consec,DP10,DP10_Miss,DP10_Consec,EMXP,EMXP_Miss,EMXP_Consec,TPCP,TPCP_Miss,TPCP_Consec,EMXT,EMXT_Miss,EMXT_Consec,EMNT,EMNT_Miss,EMNT_Consec,MMXT,MMXT_Miss,MMXT_Consec,MMNT,MMNT_Miss,MMNT_Consec,MNTM,MNTM_Miss,MNTM_Consec
20101201,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110101,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,2,0,0,1,0,0,1,0,0,3.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110201,-9999,0,0,-9999,0,0,-9999,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110301,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,1,0,0,1,0,0,1.1,0,0,2.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110401,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,1,0,0,1.7,0,0,2.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110501,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.3,0,0,0.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110601,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,3,0,0,3,0,0,3,0,0,5.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110701,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,3,0,0,0,0,0,1,0,0,4.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110801,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,6,0,0,2,0,0,1.4,0,0,7.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20110901,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,3,0,0,1,0,0,2.1,0,0,5.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20111001,-9999,0,0,-9999,0,0,-9999,0,0,10,0,0,5,0,0,2,0,0,5.8,0,0,14.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20111101,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,2,0,0,0,0,0,0.9,0,0,2.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20111201,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,2,0,0,1,0,0,1.2,0,0,3.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120101,-9999,0,0,-9999,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120201,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,1,0,0,0,0,0,0.6,0,0,1.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120301,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,1,0,0,1,0,0,2.1,0,0,3.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120401,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,3,0,0,2,0,0,1.3,0,0,3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120501,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,4,0,0,2,0,0,1.7,0,0,4.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120601,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,9,0,0,3,0,0,2.1,0,0,9.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120701,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,3,0,0,0,0,0,0.8,0,0,3.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120801,-9999,0,0,-9999,0,0,-9999,0,0,13,0,0,6,0,0,2,0,0,1.4,0,0,7.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20120901,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,2,0,0,1,0,0,1.2,0,0,3.3,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20121001,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,4,0,0,2,0,0,2.2,0,0,6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20121101,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0.5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20121201,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,2,0,0,1,0,0,2.8,0,0,4.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130101,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130201,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,1,0,0,0,0,0,0.8,0,0,1.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130301,-9999,0,0,-9999,0,0,-9999,0,0,2,0,0,0,0,0,0,0,0,0.4,0,0,0.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130401,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,1,0,0,1,0,0,5.8,0,0,6.8,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130501,-9999,0,0,-9999,0,0,-9999,0,0,8,0,0,2,0,0,1,0,0,1.9,0,0,4.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130601,-9999,0,0,-9999,0,0,-9999,0,0,13,0,0,1,0,0,1,0,0,2,0,0,5.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130701,-9999,0,0,-9999,0,0,-9999,0,0,13,0,0,6,0,0,2,0,0,1.3,0,0,7.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130801,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,2,0,0,0,0,0,0.8,0,0,2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20130901,-9999,0,0,-9999,0,0,-9999,0,0,9,0,0,4,0,0,1,0,0,2.9,0,0,6.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20131001,-9999,0,0,-9999,0,0,-9999,0,0,3,0,0,1,0,0,0,0,0,0.6,0,0,1.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20131101,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,2,0,0,0,0,0,0.9,0,0,2.4,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20131201,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,2,0,0,0,0,0,0.7,0,0,2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140101,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,1,0,0,1,0,0,1.5,0,0,3.1,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140201,-9999,0,0,-9999,0,0,-9999,0,0,6,0,0,2,0,0,0,0,0,0.9,0,0,2.6,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140301,-9999,0,0,-9999,0,0,-9999,0,0,5,0,0,3,0,0,0,0,0,0.9,0,0,2.9,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140401,-9999,0,0,-9999,0,0,-9999,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140501,-9999,0,0,-9999,0,0,-9999,0,0,7,0,0,4,0,0,1,0,0,1.1,0,0,5,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140601,-9999,0,0,-9999,0,0,-9999,0,0,11,0,0,3,0,0,1,0,0,1.1,0,0,3.7,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
20140701,-9999,0,0,-9999,0,0,-9999,0,0,17,0,0,8,0,0,5,0,0,2.4,0,0,13.2,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0,-9999,0,0
