Date,Value
2015-10-31,86.892878926382
2015-09-30,85.877878870604
2015-08-31,87.477067212001
2015-07-31,90.800133945511
2015-06-30,181.42989447034
2015-05-31,180.15773458308
2015-04-30,181.0057700054
2015-03-31,181.40494534342
2015-02-28,186.65246780822
2015-01-31,189.2702545633
2014-12-31,193.58809261366
2014-11-30,196.53580013856
2014-10-31,195.97369198432
2014-09-30,196.76256965202
2014-08-31,204.1119391493
2014-07-31,206.33264640566
2014-06-30,210.45820497278
2014-05-31,214.4832451539
2014-04-30,214.53900470346
2014-03-31,215.98070330244
2014-02-28,212.12921765508
2014-01-31,204.61645405624
2013-12-31,206.7534408819
2013-11-30,206.59142543722
2013-10-31,208.09937230618
2013-09-30,207.24011179306
2013-08-31,207.50241974044
2013-07-31,211.1908626398
2013-06-30,215.46898523476
2013-05-31,216.12606797982
2013-04-30,212.08726005488
2013-03-31,216.7689608826
2013-02-28,220.83537058002
2013-01-31,223.0454121357
2012-12-31,224.82756699972
2012-11-30,226.06447109582
2012-10-31,230.38633608624
2012-09-30,236.90157837088
2012-08-31,237.20659827536
2012-07-31,237.3861756536
2012-06-30,221.34715006266
2012-05-31,226.23165036984
2012-04-30,229.50007800098
2012-03-31,229.28293557232
2012-02-29,226.82193812736
2012-01-31,221.92145920512
2011-12-31,218.11794351508
2011-11-30,224.4346427291
2011-10-31,231.20271139354
2011-09-30,243.13371794664
2011-08-31,246.3756302224
2011-07-31,245.10296120616
2011-06-30,246.43063306646
2011-05-31,247.78759457614
2011-04-30,254.78605136574
2011-03-31,251.55289021704
2011-02-28,260.1291160985
2011-01-31,248.63567053876
2010-12-31,237.60002275744
2010-11-30,227.35462669684
2010-10-31,217.79944993468
2010-09-30,207.6392423059
2010-08-31,199.74048046254
2010-07-31,191.36337938294
2010-06-30,184.96286654364
2010-05-31,184.674901711
2010-04-30,186.2951338104
2010-03-31,183.3951255652
2010-02-28,186.86104259624
2010-01-31,192.31372823316
2009-12-31,190.08483624204
2009-11-30,188.29844712038
2009-10-31,183.13807870916
2009-09-30,180.23458603304
2009-08-31,181.68358444672
2009-07-31,176.5198317064
2009-06-30,184.10594756546
2009-05-31,183.46752550572
2009-04-30,172.64816440362
2009-03-31,166.14793496862
2009-02-28,167.96573415372
2009-01-31,169.18943367718
2008-12-31,158.59670349478
2008-11-30,164.02647283162
2008-10-31,173.32326259548
2008-09-30,203.21318364088
2008-08-31,212.8103965589
2008-07-31,230.43718664878
2008-06-30,233.38753293572
2008-05-31,225.79889606652
2008-04-30,224.75267990692
2008-03-31,222.06050208592
2008-02-29,210.29317879852
2008-01-31,194.89680294334
2007-12-31,185.41978899922
2007-11-30,179.63911266342
2007-10-31,174.56167410388
2007-09-30,170.02349566148
2007-08-31,163.3472205848
2007-07-31,162.36148398508
2007-06-30,159.6337826691
2007-05-31,154.09305607428
2007-04-30,151.27411476716
2007-03-31,149.9449855421
2007-02-28,150.15249644678
2007-01-31,146.43592659502
2006-12-31,145.000860972
2006-11-30,142.75990839562
2006-10-31,138.18911972114
2006-09-30,134.871930638
2006-08-31,136.19637730018
2006-07-31,136.23024166342
2006-06-30,134.5178116293
2006-05-31,137.03608216676
2006-04-30,132.2821489125
2006-03-31,131.57926541172
2006-02-28,134.0879217201
2006-01-31,130.02875902576
2005-12-31,125.86062093866
2005-11-30,123.28941970672
2005-10-31,124.38884670794
2005-09-30,122.64484707884
2005-08-31,121.28527258256
2005-07-31,122.92580131894
2005-06-30,123.33997674576
2005-05-31,123.79835312282
2005-04-30,124.23622452434
2005-03-31,127.14803484892
2005-02-28,120.88271791774
2005-01-31,117.18575642226
2004-12-31,116.33276014476
2004-11-30,115.71956829218
2004-10-31,114.97968831218
2004-09-30,116.64856244992
2004-08-31,117.3153339299
2004-07-31,118.69267278778
2004-06-30,121.38109168756
2004-05-31,124.32230000778
2004-04-30,126.3378186555
2004-03-31,127.20262209664
2004-02-29,123.0002693426
2004-01-31,120.06559628754
2003-12-31,116.80190365338
2003-11-30,116.53318104374
2003-10-31,114.0050482335
2003-09-30,108.38615135358
2003-08-31,105.34701940808
2003-07-31,103.5284954833
2003-06-30,104.85414331532
2003-05-31,105.73842518224
2003-04-30,106.43720099244
2003-03-31,107.46749798666
2003-02-28,108.96181770628
2003-01-31,108.92654045894
2002-12-31,108.17913509016
2002-11-30,106.360327481
2002-10-31,108.14693415654
2002-09-30,107.86393712612
2002-08-31,104.49013294056
2002-07-31,103.05188805302
2002-06-30,99.78448401288
2002-05-31,96.29712605988
2002-04-30,95.03650452768
2002-03-31,94.67011123074
2002-02-28,92.62723855516
2002-01-31,92.4633321361
2001-12-31,92.17449195248
2001-11-30,91.8379415705
2001-10-31,89.50779148506
2001-09-30,94.10453830454
2001-08-31,97.26939846168
2001-07-31,97.43519258224
2001-06-30,93.59403463434
2001-05-31,93.56520356474
2001-04-30,92.44343941552
2001-03-31,93.70119487538
2001-02-28,94.64093485682
2001-01-31,96.20780306598
2000-12-31,96.2733673144
2000-11-30,94.74360118878
2000-10-31,95.21329154888
2000-09-30,95.0225150762
2000-08-31,95.4506671452
2000-07-31,95.8930879929
2000-06-30,98.44693146722
2000-05-31,100.27760085432
2000-04-30,100.66523276156
2000-03-31,99.79511805028
2000-02-29,100.86524956056
2000-01-31,100.72795187574
1999-12-31,99.88893866498
1999-11-30,99.96025903002
1999-10-31,100.16880849038
1999-09-30,100.62715121112
1999-08-31,99.15837222494
1999-07-31,96.8959377643
1999-06-30,100.20571169244
1999-05-31,101.05464629646
1999-04-30,101.06122349204
