Date,Value
1996-11-30,2215.43
1996-10-31,1960.2
1996-09-30,1935.07
1996-08-31,2017.86
1996-07-31,1983.93
1996-06-30,2177.6
1996-05-31,2658.76
1996-04-30,2594.17
1996-03-31,2563.35
1996-02-29,2544.67
1996-01-31,2605.0
1995-12-31,2918.21
1995-11-30,2981.62
1995-10-31,2810.07
1995-09-30,2910.43
1995-08-31,3040.14
1995-07-31,3076.45
1995-06-30,2987.68
1995-05-31,2771.57
1995-04-30,2894.89
1995-03-31,2919.67
1995-02-28,2870.45
1995-01-31,3003.26
1994-12-31,2980.7
1994-11-30,2803.55
1994-10-31,2546.02
1994-09-30,2504.84
1994-08-31,2409.75
1994-07-31,2447.24
1994-06-30,2363.09
1994-05-31,2144.5
1994-04-30,1881.37
1994-03-31,1913.17
1994-02-28,1865.08
1994-01-31,1807.07
1993-12-31,1723.63
1993-11-30,1632.57
1993-10-31,1647.0
1993-09-30,1858.25
1993-08-31,1951.07
1993-07-31,1927.34
1993-06-30,1857.87
1993-05-31,1799.35
1993-04-30,1953.62
1993-03-31,2152.38
1993-02-28,2212.18
1993-01-31,2264.21
1992-12-31,2211.95
1992-11-30,2161.79
1992-10-31,2262.46
1992-09-30,2419.61
1992-08-31,2513.47
1992-07-31,2527.29
1992-06-30,2296.44
1992-05-31,2219.32
1992-04-30,2214.17
1992-03-31,2231.79
1992-02-29,2208.89
1992-01-31,2150.58
1991-12-31,2205.92
1991-11-30,2375.66
1991-10-31,2360.65
1991-09-30,2318.58
1991-08-31,2236.19
1991-07-31,2231.26
1991-06-30,2218.07
1991-05-31,2340.42
1991-04-30,2471.38
1991-03-31,2409.65
1991-02-28,2447.13
1991-01-31,2447.13
1990-12-31,2484.61
1990-11-30,2583.81
1990-10-31,2742.55
1990-09-30,3040.17
1990-08-31,2956.4
1990-07-31,2769.0
1990-06-30,2583.81
1990-05-31,2740.34
1990-04-30,2685.23
1990-03-31,2625.7
1990-02-28,2358.94
1990-01-31,2365.56
1989-12-31,2418.47
1989-11-30,2590.43
1989-10-31,2859.39
1989-09-30,2883.64
1989-08-31,2760.18
1989-07-31,2503.79
1989-06-30,2544.13
1989-05-31,2738.14
1989-04-30,3117.33
1989-03-31,3262.84
1989-02-28,3095.29
1989-01-31,3392.91
1988-12-31,3496.53
1988-11-30,3302.52
1988-10-31,2936.55
