Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086071,1866,04,22.6,Y
IDCJAC0002,086071,1866,05,19.6,Y
IDCJAC0002,086071,1866,06,14.0,Y
IDCJAC0002,086071,1866,07,13.2,Y
IDCJAC0002,086071,1866,08,15.7,Y
IDCJAC0002,086071,1866,09,17.1,Y
IDCJAC0002,086071,1866,10,20.5,Y
IDCJAC0002,086071,1866,11,20.0,Y
IDCJAC0002,086071,1866,12,23.9,Y
IDCJAC0002,086071,1867,01,25.8,Y
IDCJAC0002,086071,1867,02,25.0,Y
IDCJAC0002,086071,1867,03,23.8,Y
IDCJAC0002,086071,1867,04,20.0,Y
IDCJAC0002,086071,1867,05,16.8,Y
IDCJAC0002,086071,1867,06,16.5,Y
IDCJAC0002,086071,1867,07,13.9,Y
IDCJAC0002,086071,1867,08,15.8,Y
IDCJAC0002,086071,1867,09,17.0,Y
IDCJAC0002,086071,1867,10,20.2,Y
IDCJAC0002,086071,1867,11,22.0,Y
IDCJAC0002,086071,1867,12,23.2,Y
IDCJAC0002,086071,1868,01,24.2,Y
IDCJAC0002,086071,1868,02,24.9,Y
IDCJAC0002,086071,1868,03,25.5,Y
IDCJAC0002,086071,1868,04,20.7,Y
IDCJAC0002,086071,1868,05,17.7,Y
IDCJAC0002,086071,1868,06,14.4,Y
IDCJAC0002,086071,1868,07,13.5,Y
IDCJAC0002,086071,1868,08,15.1,Y
IDCJAC0002,086071,1868,09,18.3,Y
IDCJAC0002,086071,1868,10,21.2,Y
IDCJAC0002,086071,1868,11,22.9,Y
IDCJAC0002,086071,1868,12,23.9,Y
IDCJAC0002,086071,1869,01,26.2,Y
IDCJAC0002,086071,1869,02,25.3,Y
IDCJAC0002,086071,1869,03,22.9,Y
IDCJAC0002,086071,1869,04,20.0,Y
IDCJAC0002,086071,1869,05,15.6,Y
IDCJAC0002,086071,1869,06,14.3,Y
IDCJAC0002,086071,1869,07,14.0,Y
IDCJAC0002,086071,1869,08,16.3,Y
IDCJAC0002,086071,1869,09,17.9,Y
IDCJAC0002,086071,1869,10,18.7,Y
IDCJAC0002,086071,1869,11,22.5,Y
IDCJAC0002,086071,1869,12,26.0,Y
IDCJAC0002,086071,1870,01,26.8,Y
IDCJAC0002,086071,1870,02,26.5,Y
IDCJAC0002,086071,1870,03,25.2,Y
IDCJAC0002,086071,1870,04,21.7,Y
IDCJAC0002,086071,1870,05,16.2,Y
IDCJAC0002,086071,1870,06,14.1,Y
IDCJAC0002,086071,1870,07,13.4,Y
IDCJAC0002,086071,1870,08,14.7,Y
IDCJAC0002,086071,1870,09,16.0,Y
IDCJAC0002,086071,1870,10,19.8,Y
IDCJAC0002,086071,1870,11,21.3,Y
IDCJAC0002,086071,1870,12,23.7,Y
IDCJAC0002,086071,1871,01,26.8,Y
IDCJAC0002,086071,1871,02,25.3,Y
IDCJAC0002,086071,1871,03,22.4,Y
IDCJAC0002,086071,1871,04,21.5,Y
IDCJAC0002,086071,1871,05,18.0,Y
IDCJAC0002,086071,1871,06,15.1,Y
IDCJAC0002,086071,1871,07,14.4,Y
IDCJAC0002,086071,1871,08,16.4,Y
IDCJAC0002,086071,1871,09,17.5,Y
IDCJAC0002,086071,1871,10,18.1,Y
IDCJAC0002,086071,1871,11,22.3,Y
IDCJAC0002,086071,1871,12,25.9,Y
IDCJAC0002,086071,1872,01,27.1,Y
IDCJAC0002,086071,1872,02,24.3,Y
IDCJAC0002,086071,1872,03,25.1,Y
IDCJAC0002,086071,1872,04,19.2,Y
IDCJAC0002,086071,1872,05,16.4,Y
IDCJAC0002,086071,1872,06,15.3,Y
IDCJAC0002,086071,1872,07,14.5,Y
IDCJAC0002,086071,1872,08,13.8,Y
IDCJAC0002,086071,1872,09,18.0,Y
IDCJAC0002,086071,1872,10,20.2,Y
IDCJAC0002,086071,1872,11,23.7,Y
IDCJAC0002,086071,1872,12,24.0,Y
IDCJAC0002,086071,1873,01,24.9,Y
IDCJAC0002,086071,1873,02,25.5,Y
IDCJAC0002,086071,1873,03,22.4,Y
IDCJAC0002,086071,1873,04,21.0,Y
IDCJAC0002,086071,1873,05,17.8,Y
IDCJAC0002,086071,1873,06,15.8,Y
IDCJAC0002,086071,1873,07,13.4,Y
IDCJAC0002,086071,1873,08,16.0,Y
IDCJAC0002,086071,1873,09,17.9,Y
IDCJAC0002,086071,1873,10,21.3,Y
IDCJAC0002,086071,1873,11,19.8,Y
IDCJAC0002,086071,1873,12,27.3,Y
IDCJAC0002,086071,1874,01,25.5,Y
IDCJAC0002,086071,1874,02,25.1,Y
IDCJAC0002,086071,1874,03,22.2,Y
IDCJAC0002,086071,1874,04,21.0,Y
IDCJAC0002,086071,1874,05,16.2,Y
IDCJAC0002,086071,1874,06,13.2,Y
IDCJAC0002,086071,1874,07,13.3,Y
IDCJAC0002,086071,1874,08,14.4,Y
