Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086071,1864,11,16.4,Y
IDCJAC0001,086071,1864,12,56.3,Y
IDCJAC0001,086071,1865,01,4.1,Y
IDCJAC0001,086071,1865,02,15.1,Y
IDCJAC0001,086071,1865,03,32.0,Y
IDCJAC0001,086071,1865,04,17.5,Y
IDCJAC0001,086071,1865,05,87.4,Y
IDCJAC0001,086071,1865,06,41.8,Y
IDCJAC0001,086071,1865,07,52.3,Y
IDCJAC0001,086071,1865,08,30.9,Y
IDCJAC0001,086071,1865,09,47.7,Y
IDCJAC0001,086071,1865,10,19.3,Y
IDCJAC0001,086071,1865,11,22.7,Y
IDCJAC0001,086071,1865,12,34.4,Y
IDCJAC0001,086071,1866,01,36.4,Y
IDCJAC0001,086071,1866,02,9.1,Y
IDCJAC0001,086071,1866,03,54.5,Y
IDCJAC0001,086071,1866,04,14.6,Y
IDCJAC0001,086071,1866,05,74.2,Y
IDCJAC0001,086071,1866,06,41.7,Y
IDCJAC0001,086071,1866,07,51.8,Y
IDCJAC0001,086071,1866,08,57.4,Y
IDCJAC0001,086071,1866,09,52.8,Y
IDCJAC0001,086071,1866,10,82.9,Y
IDCJAC0001,086071,1866,11,55.2,Y
IDCJAC0001,086071,1866,12,39.8,Y
IDCJAC0001,086071,1867,01,49.0,Y
IDCJAC0001,086071,1867,02,68.1,Y
IDCJAC0001,086071,1867,03,19.0,Y
IDCJAC0001,086071,1867,04,60.0,Y
IDCJAC0001,086071,1867,05,62.0,Y
IDCJAC0001,086071,1867,06,27.5,Y
IDCJAC0001,086071,1867,07,42.2,Y
IDCJAC0001,086071,1867,08,48.9,Y
IDCJAC0001,086071,1867,09,86.3,Y
IDCJAC0001,086071,1867,10,86.2,Y
IDCJAC0001,086071,1867,11,22.1,Y
IDCJAC0001,086071,1867,12,85.0,Y
IDCJAC0001,086071,1868,01,53.7,Y
IDCJAC0001,086071,1868,02,25.2,Y
IDCJAC0001,086071,1868,03,26.0,Y
IDCJAC0001,086071,1868,04,33.5,Y
IDCJAC0001,086071,1868,05,40.9,Y
IDCJAC0001,086071,1868,06,30.0,Y
IDCJAC0001,086071,1868,07,38.2,Y
IDCJAC0001,086071,1868,08,25.6,Y
IDCJAC0001,086071,1868,09,52.5,Y
IDCJAC0001,086071,1868,10,28.2,Y
IDCJAC0001,086071,1868,11,81.1,Y
IDCJAC0001,086071,1868,12,30.0,Y
IDCJAC0001,086071,1869,01,37.2,Y
IDCJAC0001,086071,1869,02,22.9,Y
IDCJAC0001,086071,1869,03,38.8,Y
IDCJAC0001,086071,1869,04,32.8,Y
IDCJAC0001,086071,1869,05,50.3,Y
IDCJAC0001,086071,1869,06,60.8,Y
IDCJAC0001,086071,1869,07,29.0,Y
IDCJAC0001,086071,1869,08,41.9,Y
IDCJAC0001,086071,1869,09,40.5,Y
IDCJAC0001,086071,1869,10,193.3,Y
IDCJAC0001,086071,1869,11,53.9,Y
IDCJAC0001,086071,1869,12,25.0,Y
IDCJAC0001,086071,1870,01,80.1,Y
IDCJAC0001,086071,1870,02,0.8,Y
IDCJAC0001,086071,1870,03,8.7,Y
IDCJAC0001,086071,1870,04,122.1,Y
IDCJAC0001,086071,1870,05,65.0,Y
IDCJAC0001,086071,1870,06,91.8,Y
IDCJAC0001,086071,1870,07,78.8,Y
IDCJAC0001,086071,1870,08,56.7,Y
IDCJAC0001,086071,1870,09,149.3,Y
IDCJAC0001,086071,1870,10,111.5,Y
IDCJAC0001,086071,1870,11,82.0,Y
IDCJAC0001,086071,1870,12,12.2,Y
IDCJAC0001,086071,1871,01,76.5,Y
IDCJAC0001,086071,1871,02,82.2,Y
IDCJAC0001,086071,1871,03,60.3,Y
IDCJAC0001,086071,1871,04,32.8,Y
IDCJAC0001,086071,1871,05,35.5,Y
IDCJAC0001,086071,1871,06,31.9,Y
IDCJAC0001,086071,1871,07,53.0,Y
IDCJAC0001,086071,1871,08,85.3,Y
IDCJAC0001,086071,1871,09,53.0,Y
IDCJAC0001,086071,1871,10,73.2,Y
IDCJAC0001,086071,1871,11,106.5,Y
IDCJAC0001,086071,1871,12,77.5,Y
IDCJAC0001,086071,1872,01,123.4,Y
IDCJAC0001,086071,1872,02,27.9,Y
IDCJAC0001,086071,1872,03,46.4,Y
IDCJAC0001,086071,1872,04,38.5,Y
IDCJAC0001,086071,1872,05,61.9,Y
IDCJAC0001,086071,1872,06,92.0,Y
IDCJAC0001,086071,1872,07,55.5,Y
IDCJAC0001,086071,1872,08,72.5,Y
IDCJAC0001,086071,1872,09,33.4,Y
IDCJAC0001,086071,1872,10,72.8,Y
IDCJAC0001,086071,1872,11,114.4,Y
IDCJAC0001,086071,1872,12,88.2,Y
IDCJAC0001,086071,1873,01,52.6,Y
IDCJAC0001,086071,1873,02,116.5,Y
IDCJAC0001,086071,1873,03,48.9,Y
IDCJAC0001,086071,1873,04,51.5,Y
IDCJAC0001,086071,1873,05,34.6,Y
IDCJAC0001,086071,1873,06,67.6,Y
IDCJAC0001,086071,1873,07,36.4,Y
IDCJAC0001,086071,1873,08,52.7,Y
IDCJAC0001,086071,1873,09,65.4,Y
IDCJAC0001,086071,1873,10,67.0,Y
IDCJAC0001,086071,1873,11,43.3,Y
IDCJAC0001,086071,1873,12,15.6,Y
IDCJAC0001,086071,1874,01,54.5,Y
IDCJAC0001,086071,1874,02,18.5,Y
IDCJAC0001,086071,1874,03,150.7,Y
IDCJAC0001,086071,1874,04,64.2,Y
IDCJAC0001,086071,1874,05,52.1,Y
IDCJAC0001,086071,1874,06,37.5,Y
IDCJAC0001,086071,1874,07,36.0,Y
IDCJAC0001,086071,1874,08,60.9,Y
IDCJAC0001,086071,1874,09,73.0,Y
IDCJAC0001,086071,1874,10,71.4,Y
IDCJAC0001,086071,1874,11,54.2,Y
IDCJAC0001,086071,1874,12,48.7,Y
IDCJAC0001,086071,1875,01,14.5,Y
IDCJAC0001,086071,1875,02,137.8,Y
IDCJAC0001,086071,1875,03,21.9,Y
IDCJAC0001,086071,1875,04,119.0,Y
IDCJAC0001,086071,1875,05,73.6,Y
IDCJAC0001,086071,1875,06,72.5,Y
IDCJAC0001,086071,1875,07,48.7,Y
IDCJAC0001,086071,1875,08,56.7,Y
IDCJAC0001,086071,1875,09,41.2,Y
IDCJAC0001,086071,1875,10,67.8,Y
IDCJAC0001,086071,1875,11,82.4,Y
IDCJAC0001,086071,1875,12,99.5,Y
IDCJAC0001,086071,1876,01,35.6,Y
IDCJAC0001,086071,1876,02,13.5,Y
IDCJAC0001,086071,1876,03,56.4,Y
IDCJAC0001,086071,1876,04,72.2,Y
IDCJAC0001,086071,1876,05,58.3,Y
IDCJAC0001,086071,1876,06,30.9,Y
IDCJAC0001,086071,1876,07,26.6,Y
IDCJAC0001,086071,1876,08,47.3,Y
IDCJAC0001,086071,1876,09,39.2,Y
IDCJAC0001,086071,1876,10,69.5,Y
IDCJAC0001,086071,1876,11,127.5,Y
IDCJAC0001,086071,1876,12,35.8,Y
IDCJAC0001,086071,1877,01,7.1,Y
IDCJAC0001,086071,1877,02,44.6,Y
IDCJAC0001,086071,1877,03,114.8,Y
IDCJAC0001,086071,1877,04,114.5,Y
IDCJAC0001,086071,1877,05,88.1,Y
IDCJAC0001,086071,1877,06,18.7,Y
IDCJAC0001,086071,1877,07,36.0,Y
IDCJAC0001,086071,1877,08,27.7,Y
IDCJAC0001,086071,1877,09,64.4,Y
IDCJAC0001,086071,1877,10,34.4,Y
IDCJAC0001,086071,1877,11,21.8,Y
IDCJAC0001,086071,1877,12,41.3,Y
IDCJAC0001,086071,1878,01,1.0,Y
IDCJAC0001,086071,1878,02,110.2,Y
IDCJAC0001,086071,1878,03,128.3,Y
IDCJAC0001,086071,1878,04,95.2,Y
IDCJAC0001,086071,1878,05,18.6,Y
IDCJAC0001,086071,1878,06,72.7,Y
IDCJAC0001,086071,1878,07,28.4,Y
IDCJAC0001,086071,1878,08,65.9,Y
IDCJAC0001,086071,1878,09,56.2,Y
IDCJAC0001,086071,1878,10,36.4,Y
IDCJAC0001,086071,1878,11,25.9,Y
IDCJAC0001,086071,1878,12,6.2,Y
IDCJAC0001,086071,1879,01,28.2,Y
IDCJAC0001,086071,1879,02,21.5,Y
IDCJAC0001,086071,1879,03,11.1,Y
IDCJAC0001,086071,1879,04,35.7,Y
IDCJAC0001,086071,1879,05,58.5,Y
IDCJAC0001,086071,1879,06,29.2,Y
IDCJAC0001,086071,1879,07,32.6,Y
IDCJAC0001,086071,1879,08,37.5,Y
IDCJAC0001,086071,1879,09,46.4,Y
IDCJAC0001,086071,1879,10,82.3,Y
IDCJAC0001,086071,1879,11,63.1,Y
IDCJAC0001,086071,1879,12,42.4,Y
IDCJAC0001,086071,1880,01,31.1,Y
IDCJAC0001,086071,1880,02,49.6,Y
IDCJAC0001,086071,1880,03,96.8,Y
IDCJAC0001,086071,1880,04,80.7,Y
IDCJAC0001,086071,1880,05,69.7,Y
IDCJAC0001,086071,1880,06,59.0,Y
IDCJAC0001,086071,1880,07,28.7,Y
IDCJAC0001,086071,1880,08,51.8,Y
IDCJAC0001,086071,1880,09,140.0,Y
IDCJAC0001,086071,1880,10,56.0,Y
IDCJAC0001,086071,1880,11,32.3,Y
IDCJAC0001,086071,1880,12,28.8,Y
IDCJAC0001,086071,1881,01,19.1,Y
IDCJAC0001,086071,1881,02,7.4,Y
IDCJAC0001,086071,1881,03,62.0,Y
IDCJAC0001,086071,1881,04,30.6,Y
IDCJAC0001,086071,1881,05,42.6,Y
IDCJAC0001,086071,1881,06,57.2,Y
IDCJAC0001,086071,1881,07,17.5,Y
IDCJAC0001,086071,1881,08,75.8,Y
IDCJAC0001,086071,1881,09,15.9,Y
IDCJAC0001,086071,1881,10,77.7,Y
IDCJAC0001,086071,1881,11,128.3,Y
IDCJAC0001,086071,1881,12,79.5,Y
IDCJAC0001,086071,1882,01,7.4,Y
IDCJAC0001,086071,1882,02,7.4,Y
IDCJAC0001,086071,1882,03,23.8,Y
IDCJAC0001,086071,1882,04,57.6,Y
IDCJAC0001,086071,1882,05,64.5,Y
IDCJAC0001,086071,1882,06,36.4,Y
IDCJAC0001,086071,1882,07,56.7,Y
IDCJAC0001,086071,1882,08,49.9,Y
IDCJAC0001,086071,1882,09,37.7,Y
IDCJAC0001,086071,1882,10,46.7,Y
IDCJAC0001,086071,1882,11,102.0,Y
IDCJAC0001,086071,1882,12,79.2,Y
IDCJAC0001,086071,1883,01,11.1,Y
IDCJAC0001,086071,1883,02,39.7,Y
IDCJAC0001,086071,1883,03,105.7,Y
IDCJAC0001,086071,1883,04,24.1,Y
IDCJAC0001,086071,1883,05,50.7,Y
IDCJAC0001,086071,1883,06,50.0,Y
IDCJAC0001,086071,1883,07,64.8,Y
IDCJAC0001,086071,1883,08,22.1,Y
IDCJAC0001,086071,1883,09,41.8,Y
IDCJAC0001,086071,1883,10,71.1,Y
IDCJAC0001,086071,1883,11,81.9,Y
IDCJAC0001,086071,1883,12,40.7,Y
IDCJAC0001,086071,1884,01,120.7,Y
IDCJAC0001,086071,1884,02,49.7,Y
IDCJAC0001,086071,1884,03,79.0,Y
IDCJAC0001,086071,1884,04,19.1,Y
IDCJAC0001,086071,1884,05,54.7,Y
IDCJAC0001,086071,1884,06,21.4,Y
IDCJAC0001,086071,1884,07,20.0,Y
IDCJAC0001,086071,1884,08,41.8,Y
IDCJAC0001,086071,1884,09,16.2,Y
IDCJAC0001,086071,1884,10,78.5,Y
IDCJAC0001,086071,1884,11,79.0,Y
IDCJAC0001,086071,1884,12,77.6,Y
IDCJAC0001,086071,1885,01,19.2,Y
IDCJAC0001,086071,1885,02,69.5,Y
IDCJAC0001,086071,1885,03,60.9,Y
IDCJAC0001,086071,1885,04,64.0,Y
IDCJAC0001,086071,1885,05,31.5,Y
IDCJAC0001,086071,1885,06,92.3,Y
IDCJAC0001,086071,1885,07,29.0,Y
IDCJAC0001,086071,1885,08,39.7,Y
IDCJAC0001,086071,1885,09,98.5,Y
IDCJAC0001,086071,1885,10,47.6,Y
IDCJAC0001,086071,1885,11,94.3,Y
IDCJAC0001,086071,1885,12,38.8,Y
IDCJAC0001,086071,1886,01,111.5,Y
IDCJAC0001,086071,1886,02,43.1,Y
IDCJAC0001,086071,1886,03,43.6,Y
IDCJAC0001,086071,1886,04,24.1,Y
IDCJAC0001,086071,1886,05,20.6,Y
IDCJAC0001,086071,1886,06,20.9,Y
IDCJAC0001,086071,1886,07,21.6,Y
IDCJAC0001,086071,1886,08,62.7,Y
